run,province,cluster_id,r2,mae,mse,included_in_headline
1,06 Duarte,0,0.649276614189148,0.019446739926934242,0.0009997974848374724,True
1,13 La Vega,0,0.6414567232131958,0.02061902917921543,0.0013766977936029434,True
1,09 Espaillat,2,0.6198636293411255,0.025025470182299614,0.0018850949127227068,True
1,01 Distrito Nacional,4,0.6030631065368652,0.016085028648376465,0.0016220069956034422,True
1,28 Monseñor Nouel,0,0.590314507484436,0.03682200610637665,0.003925059922039509,True
1,30 Hato Mayor,2,0.5847235321998596,0.04968859255313873,0.006874411832541227,True
1,25 Santiago,4,0.5719828605651855,0.02087538130581379,0.0014923748094588518,True
1,32 Santo Domingo,4,0.5649128556251526,0.016527265310287476,0.002669162815436721,True
1,12 La Romana,2,0.5590607523918152,0.028206059709191322,0.005962952505797148,True
1,24 Sánchez Ramírez,0,0.5509315729141235,0.05966274067759514,0.012787053361535072,True
1,22 San Juan,0,0.5366619825363159,0.03106900118291378,0.0025945641100406647,True
1,04 Barahona,2,0.48458993434906006,0.041206952184438705,0.005614603869616985,True
1,23 San Pedro de Macorís,2,0.47820979356765747,0.01648915372788906,0.0010568189900368452,True
1,21 San Cristóbal,4,0.4393088221549988,0.017654551193118095,0.0013989032013341784,True
1,29 Monte Plata,0,0.4378036856651306,0.02787742018699646,0.0020678979344666004,True
1,11 La Altagracia,2,0.41864103078842163,0.017746418714523315,0.0010586018906906247,True
1,10 Independencia,1,0.3970140814781189,0.06999938935041428,0.013169563375413418,False
1,27 Valverde,1,0.3757481575012207,0.025497958064079285,0.002614016877487302,True
1,18 Puerto Plata,2,0.369465708732605,0.023899951949715614,0.0021187022794038057,True
1,19 Hermanas Mirabal,0,0.33924514055252075,0.04825511574745178,0.007561839651316404,True
1,31 San José de Ocoa,3,0.32053565979003906,0.11287008225917816,0.028194610029459,True
1,26 Santiago Rodríguez,1,0.3152783513069153,0.07081000506877899,0.013936221599578857,True
1,14 María Trinidad Sánchez,2,0.22376179695129395,0.03747796639800072,0.003620108589529991,True
1,17 Peravia,3,0.19029337167739868,0.022380797192454338,0.0010587446158751845,True
1,20 Samaná,2,0.12044697999954224,0.03678741678595543,0.0034523208159953356,True
1,08 El Seibo,2,0.12040334939956665,0.021359743550419807,0.0016569378785789013,True
1,15 Monte Cristi,2,0.051802635192871094,0.07172898203134537,0.014813601970672607,False
1,02 Azua,3,-0.2743571996688843,0.025743985548615456,0.001318116206675768,True
2,24 Sánchez Ramírez,0,0.7046512365341187,0.053618330508470535,0.008409945294260979,True
2,09 Espaillat,2,0.6688233613967896,0.023982077836990356,0.00164230412337929,True
2,12 La Romana,2,0.6528124809265137,0.027172958478331566,0.004695120733231306,True
2,06 Duarte,0,0.6455790996551514,0.019282842054963112,0.001010337844491005,True
2,30 Hato Mayor,2,0.638533353805542,0.04587779939174652,0.005983653478324413,True
2,13 La Vega,0,0.6266529560089111,0.020704349502921104,0.0014335399027913809,True
2,28 Monseñor Nouel,0,0.6220725774765015,0.03592723608016968,0.0036207963712513447,True
2,01 Distrito Nacional,4,0.5843746662139893,0.016222171485424042,0.001698373700492084,True
2,32 Santo Domingo,4,0.5763171315193176,0.0162464901804924,0.0025992002338171005,True
2,25 Santiago,4,0.5737342238426208,0.020626049488782883,0.0014862681273370981,True
2,22 San Juan,0,0.5347374677658081,0.03097192384302616,0.0026053409092128277,True
2,23 San Pedro de Macorís,2,0.5242897868156433,0.016096079722046852,0.000963489874266088,True
2,04 Barahona,2,0.481481671333313,0.040759164839982986,0.005648463498800993,True
2,29 Monte Plata,0,0.4650219678878784,0.027710245922207832,0.0019677821546792984,True
2,27 Valverde,1,0.4598540663719177,0.024612590670585632,0.0022618286311626434,True
2,21 San Cristóbal,4,0.457618772983551,0.017336152493953705,0.0013532205484807491,True
2,10 Independencia,1,0.44416874647140503,0.06993941217660904,0.012139678001403809,False
2,11 La Altagracia,2,0.44018644094467163,0.017680782824754715,0.001019369694404304,True
2,18 Puerto Plata,2,0.4167395830154419,0.02342473715543747,0.001959853805601597,True
2,31 San José de Ocoa,3,0.34246814250946045,0.11238743364810944,0.027284514158964157,True
2,19 Hermanas Mirabal,0,0.33604317903518677,0.04794112965464592,0.007598483469337225,True
2,26 Santiago Rodríguez,1,0.2302013635635376,0.07197117805480957,0.015667803585529327,True
2,15 Monte Cristi,2,0.20494210720062256,0.06940185278654099,0.012421117164194584,False
2,17 Peravia,3,0.1778794527053833,0.022557126358151436,0.0010749766370281577,True
2,14 María Trinidad Sánchez,2,0.1726536750793457,0.037383437156677246,0.0038584591820836067,True
2,08 El Seibo,2,0.16206341981887817,0.021041281521320343,0.0015784609131515026,True
2,20 Samaná,2,0.12937402725219727,0.03643394634127617,0.00341728120110929,True
2,02 Azua,3,-0.24549174308776855,0.025567134842276573,0.0012882596347481012,True
3,24 Sánchez Ramírez,0,0.7100942134857178,0.052966080605983734,0.008254957385361195,True
