cluster_id,province,r2,mae,mse
0,13 La Vega,0.6667460799217224,0.020453743636608124,0.0012795943766832352
0,06 Duarte,0.6581935882568359,0.019551264122128487,0.0009743780829012394
4,01 Distrito Nacional,0.6342443227767944,0.01661718636751175,0.001494591124355793
2,09 Espaillat,0.6178452968597412,0.025071337819099426,0.001895104069262743
0,24 Sánchez Ramírez,0.5916050672531128,0.05847053602337837,0.011628891341388226
4,32 Santo Domingo,0.5905727744102478,0.018091948702931404,0.0025117448531091213
0,28 Monseñor Nouel,0.5868282914161682,0.03623417764902115,0.003958460409194231
2,30 Hato Mayor,0.5851845741271973,0.050698503851890564,0.006866780109703541
4,25 Santiago,0.5848586559295654,0.021531498059630394,0.0014474804047495127
0,22 San Juan,0.5579898357391357,0.03120400942862034,0.0024751340970396996
2,12 La Romana,0.556624174118042,0.028912605717778206,0.005995902698487043
2,04 Barahona,0.48911941051483154,0.040832336992025375,0.00556526193395257
4,21 San Cristóbal,0.46785682439804077,0.018260853365063667,0.0013276770478114486
2,23 San Pedro de Macorís,0.4439753293991089,0.016882602125406265,0.0011261564213782549
0,29 Monte Plata,0.41380852460861206,0.02858307771384716,0.0021561579778790474
1,10 Independencia,0.406707227230072,0.07103321701288223,0.0129578597843647
2,11 La Altagracia,0.40072566270828247,0.018420754000544548,0.0010912241414189339
1,27 Valverde,0.3834328055381775,0.025481373071670532,0.0025818380527198315
3,31 San José de Ocoa,0.36348825693130493,0.11133778095245361,0.026412276551127434
0,19 Hermanas Mirabal,0.362720787525177,0.04794485121965408,0.007293178699910641
2,18 Puerto Plata,0.34993135929107666,0.02394999749958515,0.00218434096314013
1,26 Santiago Rodríguez,0.3225436210632324,0.0732988566160202,0.013788350857794285
2,14 María Trinidad Sánchez,0.26851820945739746,0.037024255841970444,0.003411380108445883
3,17 Peravia,0.1344178318977356,0.022865938022732735,0.0011318055912852287
2,08 El Seibo,0.11777573823928833,0.021011045202612877,0.0016618877416476607
2,20 Samaná,0.10418015718460083,0.0377025306224823,0.003516169497743249
2,15 Monte Cristi,0.013022303581237793,0.07213839143514633,0.015419463627040386
3,02 Azua,-0.22914254665374756,0.025583874434232712,0.001271348912268877
