variant,n_extra_terms,val_r2,test_r2,test_r2_filt
ablation_no_llm,0,0.5409006838287626,0.407678342291287,0.4227543885891254
with_llm,3,0.5456266296761376,0.43590275730405537,0.4445444139150473
ablation_random_terms,3,0.5519570963723319,0.41444223054817747,0.4261122437623831
ablation_manual_terms,6,0.5530664835657392,0.46370494791439604,0.4760504112793849
