metric,mean,std,min,max
n_llm_terms_surviving,4.0,1.0,3.0,5.0
test_r2,0.42889418091092796,0.01501275889560729,0.4028728370155607,0.4398845157452992
test_r2_filt,0.4403867157605978,0.014501454356105878,0.4166008738371042,0.45195368849314177
llm_gap_vs_no_llm,0.017632327171472416,0.014501454356105878,-0.006153514752021194,0.029199299904016374
llm_gap_vs_random,0.016336589134656455,0.017865831822200546,-0.0095113699252789,0.032959834887431205
llm_gap_vs_manual,-0.0356636955187871,0.014501454356105878,-0.05944953744228071,-0.02409672278624314
hierarchy_global_only,0.42163879229472234,0.005194650993695719,0.41453160689427304,0.42792195769456715
hierarchy_full,0.4403867157605978,0.014501454356105878,0.4166008738371042,0.45195368849314177
hierarchy_gain,0.018747923465875484,0.012870583868737871,0.0020692669428311605,0.03346215532376218
