run,term_name,coef_incidence,active
3,s10_lag0,-0.0515744611620903,True
3,I_cumul,-0.03406832739710808,True
3,llm_y_z7_pow2,-0.02523600123822689,True
3,"fs_inc_pow({'lag': 3, 'power': 2, 'z_idx': 0, 'z_idx1': 9, 'z_idx2': 5, 'lag_inc': 0, 'lag_z': 2, 'lag1': 2, 'lag2': 3})",-0.021255124360322952,True
3,s7_lag1,0.019882241263985634,True
3,y1_zm2,-0.01798977144062519,True
3,y1_zm0,-0.011250692419707775,True
3,s4_lag1,0.01123714353889227,True
3,s10_lag1,-0.010100513696670532,True
3,s2_lag3,0.0,False
3,s6_lag3,0.0,False
3,s5_lag3,0.0,False
3,s4_lag3,0.0,False
3,s3_lag3,0.0,False
3,s10_lag2,0.0,False
3,s1_lag3,0.0,False
3,s0_lag3,0.0,False
3,s8_lag3,0.0,False
3,s9_lag2,0.0,False
3,s7_lag3,0.0,False
3,logistic,0.0,False
3,s9_lag3,0.0,False
3,s10_lag3,0.0,False
3,base_y1_z1_2,0.0,False
3,s7_lag2,0.0,False
3,y1_zm1,0.0,False
3,sin52,0.0,False
3,cos52,0.0,False
3,sin26,0.0,False
3,cos26,0.0,False
3,llm_sin52_z6_lag1,0.0,False
3,llm_y_z6_lag2,0.0,False
3,llm_y_z8_sin26,0.0,False
3,s8_lag2,0.0,False
3,s3_lag2,0.0,False
3,s6_lag2,0.0,False
3,s0_lag1,0.0,False
3,s0_lag0,0.0,False
3,s1_lag0,0.0,False
3,s2_lag0,0.0,False
3,s3_lag0,0.0,False
3,s4_lag0,0.0,False
3,s5_lag0,0.0,False
3,s6_lag0,0.0,False
3,s7_lag0,0.0,False
3,s8_lag0,0.0,False
3,s9_lag0,0.0,False
3,s1_lag1,0.0,False
3,s5_lag2,0.0,False
3,s2_lag1,0.0,False
3,s3_lag1,0.0,False
3,s5_lag1,0.0,False
3,s6_lag1,0.0,False
3,s8_lag1,0.0,False
3,s9_lag1,0.0,False
3,s0_lag2,0.0,False
3,s1_lag2,0.0,False
3,s2_lag2,0.0,False
3,s4_lag2,0.0,False
3,llm_y_z6_lag3,0.0,False
