province,mean,std,min,max,n_runs,included_in_headline
24 Sánchez Ramírez,0.6752312064170838,0.06953791533767749,0.5509315729141235,0.7100942134857178,5,True
09 Espaillat,0.6694841265678406,0.02884380519141533,0.6198636293411255,0.6892154812812805,5,True
12 La Romana,0.6540481805801391,0.05532347405210899,0.5590607523918152,0.6951241493225098,5,True
06 Duarte,0.644196629524231,0.003530692045426445,0.6401420831680298,0.649276614189148,5,True
28 Monseñor Nouel,0.6367732286453247,0.030517378521575933,0.590314507484436,0.6624683737754822,5,True
13 La Vega,0.6295998096466064,0.008400374948268119,0.6215518712997437,0.6414567232131958,5,True
30 Hato Mayor,0.6156439542770386,0.020956364838217608,0.5847235321998596,0.638533353805542,5,True
01 Distrito Nacional,0.5930969715118408,0.008328433224172288,0.5843746662139893,0.6030631065368652,5,True
32 Santo Domingo,0.5850362420082093,0.01503255056557297,0.5649128556251526,0.6042331457138062,5,True
25 Santiago,0.5742908596992493,0.005060724365249274,0.5673280954360962,0.5793424844741821,5,True
22 San Juan,0.5417603611946106,0.012853597600189694,0.5278430581092834,0.5599201917648315,5,True
23 San Pedro de Macorís,0.5270182847976684,0.028840623598731654,0.47820979356765747,0.5498049259185791,5,True
04 Barahona,0.489058518409729,0.01346273167102858,0.47730201482772827,0.5115925073623657,5,True
21 San Cristóbal,0.46695986986160276,0.018137330791910405,0.4393088221549988,0.4813441038131714,5,True
29 Monte Plata,0.4621002674102783,0.014373680798361715,0.4378036856651306,0.47532302141189575,5,True
11 La Altagracia,0.43791779279708865,0.011301753120366262,0.41864103078842163,0.4485805034637451,5,True
27 Valverde,0.4313288927078247,0.033279913531384826,0.3757481575012207,0.4598540663719177,5,True
10 Independencia,0.43088024854660034,0.02094177823910186,0.3970140814781189,0.4487432837486267,5,False
18 Puerto Plata,0.4140286922454834,0.025570994964538737,0.369465708732605,0.43170613050460815,5,True
19 Hermanas Mirabal,0.3938901901245117,0.054146615047941986,0.33604317903518677,0.4571235179901123,5,True
31 San José de Ocoa,0.34495015144348146,0.01640575231389286,0.32053565979003906,0.36436212062835693,5,True
14 María Trinidad Sánchez,0.22595220804214478,0.03722962908111377,0.1726536750793457,0.26567918062210083,5,True
26 Santiago Rodríguez,0.22242963314056396,0.05528572880487599,0.17953282594680786,0.3152783513069153,5,True
17 Peravia,0.17188574075698854,0.01429328895106732,0.1522628664970398,0.19029337167739868,5,True
08 El Seibo,0.16791691780090331,0.029046773665095022,0.12040334939956665,0.19294893741607666,5,True
20 Samaná,0.1289590120315552,0.008815302393318932,0.12044697999954224,0.1422085165977478,5,True
15 Monte Cristi,0.12810220718383789,0.07321669664129388,0.051802635192871094,0.20494210720062256,5,False
02 Azua,-0.25350313186645507,0.014880299769349403,-0.2743571996688843,-0.23444223403930664,5,True
