metric,llm_proposer_mean,llm_proposer_std,random_proposer_mean,random_proposer_std
val_r2,0.5201361370938165,0.013802667154745119,0.47661679429667336,0.022653336207221472
test_r2,0.4426360611404691,0.017226267723429035,0.35311228036880493,0.03319056402772071
valid_proposals,28.2,4.43846820423443,26.2,1.3038404810405297
parse_failures,3.4,4.449719092257397,5.4,1.51657508881031
retained_proposals,13.6,2.3021728866442674,14.8,1.0954451150103321
evaluations_to_best_val,7.8,0.4472135954999579,7.8,0.4472135954999579
