variant,val_r2,test_r2,test_r2_filt
global_only,0.4873780331441334,0.40717425516673494,0.4239042309614328
global_plus_cluster,0.4970807880163193,0.41813369521072935,0.43372318836358875
global_plus_province,0.5417972739253726,0.4426268701042448,0.45168094680859494
global_plus_cluster_plus_province (full),0.5456266296761376,0.43590275730405537,0.4445444139150473
