run,n_llm_terms_surviving,test_r2,test_r2_filt,llm_gap_vs_no_llm,llm_gap_vs_random,llm_gap_vs_manual,hierarchy_global_only,hierarchy_full,hierarchy_gain
1,3,0.4028728370155607,0.4166008738371042,-0.006153514752021194,-0.0095113699252789,-0.05944953744228071,0.41453160689427304,0.4166008738371042,0.0020692669428311605
2,4,0.4295636862516403,0.43764124466822696,0.014886856079101562,0.0076028062747074965,-0.03840916661115795,0.42792195769456715,0.43764124466822696,0.009719286973659813
3,5,0.4398845157452992,0.45195368849314177,0.029199299904016374,0.032959834887431205,-0.02409672278624314,0.4184915331693796,0.45195368849314177,0.03346215532376218
4,5,0.436247108238084,0.45119335788946885,0.028438969300343453,0.032199504283758285,-0.02485705338991606,0.42334463275395906,0.45119335788946885,0.02784872513550979
5,3,0.43590275730405537,0.4445444139150473,0.02179002532592189,0.018432170152664185,-0.03150599736433762,0.4239042309614328,0.4445444139150473,0.020640182953614472
