run,pooled_r2_all28,pooled_r2_filtered26,mean_per_province_r2_filtered26_crosscheck,n_llm_terms_surviving
1,0.5089473128318787,0.5318431854248047,0.445004403591156,3
2,0.5088711977005005,0.5245059728622437,0.44055232176413905,4
3,0.5141419172286987,0.5316729545593262,0.4439547038995303,3
4,0.5282918214797974,0.5436181426048279,0.45619927461330706,6
5,0.5196420550346375,0.5317171216011047,0.44173296139790463,3
