split,year,week,y_true,y_hat,n_provinces,time_value
fit_2015_2019,2015,5,0.023389033008632914,0.016046360435471536,28,2015.076923076923
fit_2015_2019,2015,6,0.01633233473902302,0.022935077872326865,28,2015.0961538461538
fit_2015_2019,2015,7,0.01794971921481192,0.015208509855645909,28,2015.1153846153845
fit_2015_2019,2015,8,0.016687662240916064,0.01860112902691721,28,2015.1346153846155
fit_2015_2019,2015,9,0.024724199918897023,0.017599041942698283,28,2015.1538461538462
fit_2015_2019,2015,10,0.02020466435767178,0.023631546105856875,28,2015.173076923077
fit_2015_2019,2015,11,0.021055174492565647,0.021040029366434152,28,2015.1923076923076
fit_2015_2019,2015,12,0.02198432760113584,0.021926488378085196,28,2015.2115384615386
fit_2015_2019,2015,13,0.024584699970936135,0.021962489498296885,28,2015.2307692307693
fit_2015_2019,2015,14,0.019396106845566204,0.025572490959478143,28,2015.25
fit_2015_2019,2015,15,0.021784715919888446,0.02071374018851202,28,2015.2692307692307
fit_2015_2019,2015,16,0.025479146545486792,0.022721965514522578,28,2015.2884615384614
fit_2015_2019,2015,17,0.02096511431903179,0.026923742178561434,28,2015.3076923076924
fit_2015_2019,2015,18,0.026079458450632437,0.02276136055713453,28,2015.326923076923
fit_2015_2019,2015,19,0.02293155972646283,0.02758112000135173,28,2015.3461538461538
fit_2015_2019,2015,20,0.02328042233628886,0.027121892589743117,28,2015.3653846153845
fit_2015_2019,2015,21,0.018803477769584527,0.026209638121404817,28,2015.3846153846155
fit_2015_2019,2015,22,0.03146038345792996,0.023106551688605186,28,2015.4038461538462
fit_2015_2019,2015,23,0.03351110680627504,0.033731769903429916,28,2015.423076923077
fit_2015_2019,2015,24,0.03698332002386451,0.03603278479671904,28,2015.4423076923076
fit_2015_2019,2015,25,0.030880014545151165,0.04029713505380122,28,2015.4615384615386
fit_2015_2019,2015,26,0.03834634809754789,0.03554884433313938,28,2015.4807692307693
fit_2015_2019,2015,27,0.04307922885553645,0.043353756120528227,28,2015.5
fit_2015_2019,2015,28,0.054174404591321945,0.04866471205605194,28,2015.5192307692307
fit_2015_2019,2015,29,0.05900371385671731,0.05759635976989687,28,2015.5384615384614
fit_2015_2019,2015,30,0.05049585637503436,0.06386131141334772,28,2015.5576923076924
fit_2015_2019,2015,31,0.06928759126458317,0.056200878511715145,28,2015.576923076923
fit_2015_2019,2015,32,0.06698033636036728,0.0731899051793984,28,2015.5961538461538
fit_2015_2019,2015,33,0.07622238511352666,0.07342591125052422,28,2015.6153846153845
fit_2015_2019,2015,34,0.08724646039107549,0.08286696733973388,28,2015.6346153846155
fit_2015_2019,2015,35,0.0845012724166736,0.09371002234651574,28,2015.6538461538462
fit_2015_2019,2015,36,0.11225570545398764,0.08970699747026499,28,2015.673076923077
fit_2015_2019,2015,37,0.11388897669634648,0.11567790309033756,28,2015.6923076923076
fit_2015_2019,2015,38,0.13621595443692058,0.11832224781392142,28,2015.7115384615386
fit_2015_2019,2015,39,0.15214288840070367,0.135650968644768,28,2015.7307692307693
fit_2015_2019,2015,40,0.18166956465159143,0.14971337520650455,28,2015.75
fit_2015_2019,2015,41,0.18301561434886285,0.174958991402361,28,2015.7692307692307
fit_2015_2019,2015,42,0.2104693040517824,0.17578007819663202,28,2015.7884615384614
fit_2015_2019,2015,43,0.20807709451764822,0.1974923824891448,28,2015.8076923076924
fit_2015_2019,2015,44,0.16916843307470636,0.1860959366230028,28,2015.826923076923
fit_2015_2019,2015,45,0.18291108558020955,0.15936819849801914,28,2015.8461538461538
fit_2015_2019,2015,46,0.1566569713343467,0.16282667266204953,28,2015.8653846153845
fit_2015_2019,2015,47,0.11868061191801514,0.12954958202317357,28,2015.8846153846155
fit_2015_2019,2015,48,0.08723501209169626,0.10147434060594865,28,2015.9038461538462
fit_2015_2019,2015,49,0.07938828189591211,0.07775005299065794,28,2015.923076923077
fit_2015_2019,2015,50,0.07102914487144776,0.06867526325264148,28,2015.9423076923076
fit_2015_2019,2015,51,0.05822772397992334,0.06785199049305188,28,2015.9615384615386
fit_2015_2019,2015,52,0.07951373859707798,0.06135014541048024,28,2015.9807692307693
fit_2015_2019,2016,1,0.08820163169210511,0.07737831245841724,28,2016.0
fit_2015_2019,2016,2,0.07847212983428367,0.08290314464829862,28,2016.0192307692307
fit_2015_2019,2016,3,0.06969003795113947,0.07378842502034136,28,2016.0384615384614
fit_2015_2019,2016,4,0.07136600314905601,0.06632519330430243,28,2016.0576923076924
fit_2015_2019,2016,5,0.07329812156967819,0.06515965469381106,28,2016.076923076923
fit_2015_2019,2016,6,0.05195080458984843,0.06717129251254457,28,2016.0961538461538
fit_2015_2019,2016,7,0.06080628040113619,0.05228180919740615,28,2016.1153846153845
fit_2015_2019,2016,8,0.03932220182780709,0.05745277585395213,28,2016.1346153846155
fit_2015_2019,2016,9,0.03572272429508822,0.04202599450114316,28,2016.1538461538462
fit_2015_2019,2016,10,0.03315007749811879,0.03906375377222763,28,2016.173076923077
fit_2015_2019,2016,11,0.03222352439271552,0.03566568128631583,28,2016.1923076923076
fit_2015_2019,2016,12,0.03064538275689951,0.033527840207430666,28,2016.2115384615386
fit_2015_2019,2016,13,0.03837408755706357,0.03211222496299472,28,2016.2307692307693
fit_2015_2019,2016,14,0.034429780124420564,0.037387740206960576,28,2016.25
fit_2015_2019,2016,15,0.0391553388243275,0.03437677691233278,28,2016.2692307692307
fit_2015_2019,2016,16,0.034568053387504606,0.03889312065439299,28,2016.2884615384614
fit_2015_2019,2016,17,0.018669451137871614,0.0363336436119945,28,2016.3076923076924
fit_2015_2019,2016,18,0.02047168423554727,0.022265834424225823,28,2016.326923076923
fit_2015_2019,2016,19,0.026467710683521415,0.02240145592700823,28,2016.3461538461538
fit_2015_2019,2016,20,0.02721700255226876,0.02843198082544924,28,2016.3653846153845
fit_2015_2019,2016,21,0.030260330115977143,0.02960116584602344,28,2016.3846153846155
fit_2015_2019,2016,22,0.03298662373396967,0.030357362701449477,28,2016.4038461538462
fit_2015_2019,2016,23,0.038407133476409526,0.032245765068832304,28,2016.423076923077
fit_2015_2019,2016,24,0.030470909251432334,0.03543973884994297,28,2016.4423076923076
fit_2015_2019,2016,25,0.036356923320064585,0.03132574675172301,28,2016.4615384615386
fit_2015_2019,2016,26,0.02516216448774295,0.03629251687587904,28,2016.4807692307693
fit_2015_2019,2016,27,0.02383834958475615,0.02711013927806302,28,2016.5
fit_2015_2019,2016,28,0.017756029115324572,0.026548238920180926,28,2016.5192307692307
fit_2015_2019,2016,29,0.0171263295924291,0.020212982774994868,28,2016.5384615384614
fit_2015_2019,2016,30,0.010903888099294688,0.018318940312643202,28,2016.5576923076924
fit_2015_2019,2016,31,0.01828375498631171,0.012298752742935903,28,2016.576923076923
fit_2015_2019,2016,32,0.008875816761116897,0.018314742119920475,28,2016.5961538461538
fit_2015_2019,2016,33,0.014100107830017805,0.010074884865129466,28,2016.6153846153845
fit_2015_2019,2016,34,0.011765957793353923,0.014280847584554326,28,2016.6346153846155
fit_2015_2019,2016,35,0.011559017418351556,0.01124337429947835,28,2016.6538461538462
fit_2015_2019,2016,36,0.009576842288619705,0.011859994562525702,28,2016.673076923077
fit_2015_2019,2016,37,0.012281232995779387,0.009989118972693436,28,2016.6923076923076
fit_2015_2019,2016,38,0.007144263795843082,0.012279948086610861,28,2016.7115384615386
fit_2015_2019,2016,39,0.013544311630539596,0.006937064276176638,28,2016.7307692307693
fit_2015_2019,2016,40,0.013131776259147696,0.012217213509952021,28,2016.75
fit_2015_2019,2016,41,0.012682075296262545,0.012711268463525422,28,2016.7692307692307
fit_2015_2019,2016,42,0.008684768690727651,0.011789696664241742,28,2016.7884615384614
fit_2015_2019,2016,43,0.01258465414866805,0.009386661784706771,28,2016.8076923076924
fit_2015_2019,2016,44,0.0074001843209511465,0.011529112392086713,28,2016.826923076923
